# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
ru men 	入門	c=1 d=1 t=58754
ru xia 	如下	c=12 d=0.000274654 t=66314
ru zhi 	入職	c=2 d=0.00166156 t=66314
ru zhi le 	入職了	c=1 d=2.34603e-32 t=66314
ruan 	軟	c=0 d=0.1 t=37380
ruan jian 	軟件	c=2 d=1.97046e-09 t=66314
ruan lian 	軟鏈	c=4 d=1.90032 t=45724
ruan zhong duan 	軟中斷	c=1 d=1 t=37381
rui wen 	瑞文	c=1 d=5.76422e-49 t=66314
rui xing 	瑞幸	c=4 d=1.17621e-17 t=66314
ruo 	弱	c=1 d=7.02465e-52 t=66314
ruo 	若	c=1 d=6.28115e-30 t=66314
ruo gan 	若干	c=3 d=6.86566e-18 t=66314
sa la 	薩拉	c=1 d=1 t=47404
san 	三	c=6 d=1.17715e-07 t=66314
san bu 	三步	c=1 d=1 t=27981
san ci 	三次	c=3 d=1.45377e-11 t=66314
san fen zhi yi 	三分之一	c=1 d=4.7293e-15 t=66314
san ge 	三個	c=20 d=0.0371836 t=66314
san guo 	三國	c=1 d=7.2662e-38 t=66314
san ji 	三級	c=1 d=1 t=46987
san jiao xing 	三角形	c=1 d=1.0029e-34 t=66314
san mu 	三木	c=3 d=1 t=38022
san qi 	三期	c=1 d=1 t=58629
san qian 	三千	c=1 d=5.35991e-17 t=66314
san shi sui 	三十歲	c=1 d=1.26749e-24 t=66314
san tai 	三臺	c=11 d=0.110251 t=66314
san yuan 	三元	c=1 d=3.1843e-38 t=66314
san yue 	三月	c=3 d=7.57498e-05 t=66314
san zhong 	三種	c=1 d=5.44462e-25 t=66314
san zhou 	三週	c=1 d=5.03217e-10 t=66314
sang qi 	桑啓	c=1 d=1 t=52583
sao 	掃	c=2 d=0.100707 t=36368
sao 	騷	c=1 d=1.52928e-27 t=66314
sao bu liao 	掃不了	c=1 d=1 t=36369
sao dao 	掃到	c=1 d=1 t=27489
sao miao 	掃描	c=18 d=1.43406e-06 t=66314
sao miao jian 	掃描件	c=2 d=1.52062e-19 t=66314
se 	色	c=2 d=4.06142e-19 t=66314
sha 	傻	c=2 d=6.98033e-07 t=66314
sha 	啥	c=36 d=0.882497 t=66314
sha 	殺	c=1 d=8.35954e-40 t=66314
sha 	莎	c=0 d=2.2037e-32 t=66314
sha bi 	傻逼	c=1 d=8.82769e-29 t=66314
sha diao 	沙雕	c=1 d=1 t=62547
sha dou neng 	啥都能	c=1 d=1 t=44001
sha fa 	沙發	c=1 d=1.3181e-14 t=66314
sha hu hu 	傻乎乎	c=6 d=0.0500634 t=66314
sha la 	沙拉	c=4 d=6.39719e-39 t=66314
sha li ya 	莎利亞	c=1 d=2.21475e-31 t=66314
sha ren 	殺人	c=1 d=1 t=55220
sha sha 	傻傻	c=1 d=1 t=35760
sha shi hou 	啥時候	c=7 d=0.0502874 t=66314
sha ye 	啥也	c=2 d=1 t=47544
sha yong 	啥用	c=1 d=1.23919e-23 t=66314
shai cha 	篩查	c=1 d=1 t=54570
shai gan 	曬乾	c=1 d=5.67762e-18 t=66314
shan 	刪	c=20 d=0.000449369 t=66314
shan 	山	c=1 d=1 t=37189
shan chu 	刪除	c=90 d=0.697924 t=66314
shan diao 	刪掉	c=0 d=0.1 t=44557
shan diao le 	刪掉了	c=2 d=1 t=60444
shan jian 	刪減	c=2 d=3.73173e-34 t=66314
shan la 	刪啦	c=1 d=1.94747e-18 t=66314
shan le 	刪了	c=7 d=0.000526126 t=66314
shan ma 	刪嗎	c=1 d=0.000162473 t=66314
shan wan 	刪完	c=1 d=0.000186888 t=66314
shan zhu 	山竹	c=1 d=8.52261e-32 t=66314
shang 	上	c=149 d=0.950867 t=66314
shang 	商	c=1 d=1 t=33478
shang 	尚	c=2 d=1.52615e-35 t=66314
shang ban 	上班	c=16 d=1.86445e-05 t=66314
shang ban nian 	上半年	c=1 d=1.67854e-05 t=66314
shang bao 	上報	c=6 d=1.77834e-08 t=66314
shang ce suo 	上廁所	c=4 d=3.04636e-17 t=66314
shang chang 	商場	c=2 d=6.0546e-39 t=66314
shang che 	上車	c=2 d=1.22157e-31 t=66314
shang chuan 	上傳	c=566 d=1.17948 t=66314
shang chuan su du 	上傳速度	c=1 d=2.22168e-09 t=66314
shang ci 	上次	c=23 d=0.433874 t=66314
shang de 	上的	c=3 d=1 t=61295
shang fen 	上分	c=1 d=1 t=52534
shang ge 	上個	c=1 d=1 t=44947
shang hai 	上海	c=26 d=0.0414688 t=66314
shang lai 	上來	c=3 d=1.00063 t=61715
shang le 	上了	c=15 d=0.344728 t=66314
shang liang 	上量	c=7 d=1 t=63405
shang liang 	商量	c=1 d=2.62649e-37 t=66314
shang mian 	上面	c=19 d=1.16837e-06 t=66314
shang pin 	商品	c=4 d=5.32393e-26 t=66314
shang qu 	上去	c=6 d=6.33241e-08 t=66314
shang shu 	上述	c=1 d=5.2882e-35 t=66314
shang wei 	尚未	c=1 d=2.38189e-34 t=66314
shang wu 	上午	c=12 d=0.000834622 t=66314
shang xia ban 	上下班	c=1 d=1 t=44898
shang xia wen 	上下文	c=2 d=4.13136e-13 t=66314
shang xian 	上線	c=115 d=0.403406 t=66314
shang xin 	上新	c=3 d=1.99005 t=56226
shang xing 	上行	c=3 d=1.8781 t=51964
shang xue 	上學	c=1 d=1 t=40430
shang yao 	上藥	c=1 d=5.60357e-40 t=66314
shang yi ci 	上一次	c=1 d=1 t=57015
shang yi dian 	上一點	c=1 d=1 t=38558
shang yi ge 	上一個	c=1 d=3.83349e-15 t=66314
shang zhang 	上漲	c=8 d=3.06799e-12 t=66314
shang zhou 	上週	c=8 d=8.91761e-08 t=66314
shang zhou wu 	上週五	c=1 d=0.00351752 t=66314
shao 	少	c=9 d=5.77146e-05 t=66314
shao 	邵	c=1 d=1 t=47432
shao deng 	稍等	c=4 d=6.30083e-08 t=66314
shao deng yi xia 	稍等一下	c=2 d=6.62169e-25 t=66314
shao hou 	稍後	c=1 d=1 t=66313
shao huai 	燒壞	c=1 d=0.00782838 t=66314
shao le 	少了	c=2 d=1 t=49405
shao liang 	少量	c=1 d=1 t=64926
shao ya 	燒鴨	c=1 d=1 t=54019
shao yu 	少宇	c=2 d=0.024972 t=66314
shao zhuan dian 	少賺點	c=1 d=2.63741e-27 t=66314
she 	設	c=5 d=4.3642e-11 t=66314
she bao 	社保	c=1 d=3.88733e-32 t=66314
she bei 	設備	c=2 d=1.13738 t=37652
she cheng 	設成	c=1 d=1 t=33162
she ding 	設定	c=1 d=1 t=48968
she ji 	涉及	c=6 d=6.39613e-17 t=66314
she ji 	設計	c=22 d=6.36423e-17 t=66314
she me 	什麼	c=1 d=1 t=54955
she niu 	社牛	c=1 d=1 t=63803
she qi 	捨棄	c=1 d=5.44925e-35 t=66314
she shou 	射手	c=1 d=1.82895e-44 t=66314
she wei 	設爲	c=3 d=5.36006e-32 t=66314
she you 	舍友	c=1 d=1.68604e-28 t=66314
she zhi 	設置	c=35 d=0.0288686 t=66314
she zhi wei 	設置爲	c=3 d=1 t=62350
shen 	什	c=1 d=1 t=41816
shen 	申	c=2 d=7.69585e-08 t=66314
shen 	神	c=2 d=1.00037 t=41818
shen fen 	身份	c=0 d=0.1 t=35395
shen fen zheng 	身份證	c=3 d=8.89444e-40 t=66314
shen he 	審覈	c=12 d=3.77483e-07 t=66314
shen ji 	審計	c=2 d=1 t=59121
shen jian xin 	沈劍心	c=1 d=1 t=42259
shen lan 	深藍	c=1 d=6.66275e-18 t=66314
shen me 	什麼	c=198 d=0.666926 t=66314
shen me shi 	什麼是	c=2 d=3.70526e-27 t=66314
shen me yi si 	什麼意思	c=0 d=9.79667e-25 t=66314
shen pi 	審批	c=33 d=0.000416254 t=66314
shen pi xia 	審批下	c=1 d=1 t=45035
shen qi 	神奇	c=1 d=1 t=62637
shen qing 	申請	c=66 d=0.000948915 t=66314
shen su 	申訴	c=1 d=2.31071e-30 t=66314
shen ti 	身體	c=1 d=1 t=27102
shen xian 	神仙	c=1 d=1 t=27275
sheng 	勝	c=1 d=1.99467e-35 t=66314
sheng 	生	c=2 d=6.25428e-09 t=66314
sheng chan 	生產	c=15 d=9.71272e-11 t=66314
sheng chan zhe 	生產者	c=1 d=1 t=37471
sheng cheng 	生成	c=64 d=2.29104e-06 t=66314
sheng de 	省得	c=1 d=2.48467e-31 t=66314
sheng fen 	省份	c=2 d=1.00001 t=51999
sheng gao 	升高	c=1 d=0.657047 t=66314
sheng ji 	升級	c=24 d=0.001441 t=66314
sheng ji hou 	升級後	c=1 d=1 t=26434
sheng jun 	生菌	c=0 d=8.33087e-30 t=66314
sheng lv 	勝率	c=2 d=1.46301 t=52711
sheng ming 	生命	c=8 d=0.0155297 t=66314
sheng mu shan 	聖墓山	c=1 d=1.46075e-17 t=66314
sheng pi 	生僻	c=0 d=8.78993e-14 t=66314
sheng pi ci 	生僻詞	c=1 d=8.83398e-13 t=66314
sheng qi 	生氣	c=2 d=4.23955e-24 t=66314
sheng qian 	省錢	c=1 d=1 t=47520
sheng ri 	生日	c=2 d=6.50267e-27 t=66314
sheng ri hui 	生日會	c=1 d=1 t=54716
sheng sheng shi shi 	生生世世	c=-1 d=0 t=66314
sheng ti 	聖體	c=1 d=1 t=27101
sheng xia 	剩下	c=7 d=2.67499e-17 t=66314
sheng xiao 	生效	c=19 d=0.000422213 t=66314
sheng yi 	生意	c=1 d=9.52201e-13 t=66314
sheng yin 	聲音	c=3 d=3.16573e-28 t=66314
sheng yu 	剩餘	c=5 d=0.0031042 t=66314
shi 	事	c=10 d=7.47094e-12 t=66314
shi 	使	c=0 d=7.29145e-21 t=66314
shi 	室	c=1 d=5.07119e-09 t=66314
shi 	式	c=1 d=1.56315e-20 t=66314
shi 	是	c=1317 d=6.90613 t=66314
shi 	時	c=167 d=0.00230038 t=66314
shi 	試	c=3 d=1.10916e-13 t=66314
shi a 	是啊	c=4 d=1.82017e-23 t=66314
shi ba 	是吧	c=10 d=1.83375e-16 t=66314
shi bai 	失敗	c=107 d=0.242597 t=66314
shi bai hai 	失敗還	c=1 d=1 t=42745
shi bai lun 	失敗論	c=1 d=1 t=44049
shi bu 	是不	c=4 d=3.72665e-06 t=66314
shi bu hui 	是不會	c=1 d=1 t=30913
shi bu shi 	是不是	c=86 d=0.244795 t=66314
shi ce 	實測	c=1 d=1 t=46644
shi chang 	市場	c=1 d=1 t=47478
shi chang 	時長	c=50 d=0.000325817 t=66314
shi dang 	適當	c=2 d=2.89473e-34 t=66314
shi de 	使得	c=1 d=1.0596e-34 t=66314
shi de 	是的	c=77 d=0.377072 t=66314
shi duan 	時段	c=0 d=0.1 t=38790
shi er dian 	十二點	c=1 d=1.88113e-22 t=66314
shi fang 	釋放	c=3 d=0.285701 t=66314
shi fei 	施肥	c=1 d=2.76595e-28 t=66314
shi fou 	是否	c=65 d=0.00583827 t=66314
shi fu 	師傅	c=2 d=1 t=36189
shi ge 	十個	c=1 d=1 t=44063
shi ge 	是個	c=6 d=6.70777e-09 t=66314
shi gu 	事故	c=1 d=2.12386e-38 t=66314
shi guan 	試管	c=1 d=1 t=51888
shi he 	適合	c=4 d=0.000104638 t=66314
shi hou 	時候	c=137 d=1.26055 t=66314
shi ji 	十幾	c=1 d=3.95844e-11 t=66314
shi ji 	實際	c=27 d=0.000176887 t=66314
shi ji he 	十幾核	c=1 d=1 t=61985
shi jian 	事件	c=8 d=0.752014 t=66314
shi jian 	時間	c=171 d=0.152061 t=66314
shi jian chuo 	時間戳	c=4 d=4.62919e-28 t=66314
shi jian duan 	時間段	c=3 d=4.2969e-34 t=66314
shi jie 	世界	c=1 d=1 t=63804
shi jie 	視界	c=1 d=1 t=45435
shi jing 	詩經	c=1 d=5.93976e-49 t=66314
shi ke 	時刻	c=19 d=1.83667e-20 t=66314
shi le 	溼了	c=1 d=1 t=27529
shi le xia 	試了下	c=5 d=0.00109172 t=66314
shi li 	實例	c=20 d=1.05454e-07 t=66314
shi li 	示例	c=6 d=1.2199e-06 t=66314
shi ma 	是嗎	c=41 d=0.0398188 t=66314
shi pei 	適配	c=10 d=1 t=56198
shi pin 	視頻	c=79 d=0.0899545 t=66314
shi pin yun 	視頻雲	c=10 d=1 t=62932
shi qi 	時期	c=1 d=1 t=63411
shi qi jia 	食其家	c=1 d=1.02546e-31 t=66314
shi qing 	事情	c=2 d=1.8547e-32 t=66314
shi qu 	時區	c=6 d=3.04056e-24 t=66314
shi sha 	是啥	c=3 d=2.34523e-28 t=66314
shi shen me 	是什麼	c=3 d=8.34959e-26 t=66314
shi shi 	實施	c=1 d=1.42536e-52 t=66314
shi shi 	實時	c=6 d=2.11333e-09 t=66314
shi shi 	試試	c=27 d=0.114504 t=66314
shi ta 	是他	c=1 d=1 t=27896
shi tang 	食堂	c=1 d=1 t=41751
shi tou 	溼透	c=0 d=5.17803e-53 t=66314
shi tou le 	溼透了	c=1 d=5.20399e-52 t=66314
shi tu 	試圖	c=1 d=9.91198e-44 t=66314
shi wei 	視爲	c=1 d=3.86058e-39 t=66314
shi wo 	是我	c=6 d=4.22357e-08 t=66314
shi wu 	事務	c=3 d=1 t=51252
shi wu 	失誤	c=0 d=0.1 t=55880
shi wu tai duo 	失誤太多	c=1 d=1 t=55881
shi xian 	實現	c=103 d=0.0390081 t=66314
shi xian de 	實現的	c=2 d=3.20477e-46 t=66314
shi xiang 	事項	c=1 d=1 t=51307
shi xiao 	失效	c=6 d=8.85836e-16 t=66314
shi xu 	時序	c=1 d=9.28375e-10 t=66314
shi xu tu 	時序圖	c=1 d=9.33029e-09 t=66314
shi ya 	是呀	c=4 d=8.66348e-19 t=66314
shi yan 	實驗	c=2 d=0.00135743 t=66314
shi yao 	是要	c=6 d=5.5042e-06 t=66314
shi ye bu 	事業部	c=1 d=1 t=61658
shi yi 	十一	c=1 d=1 t=55083
shi yi 	是以	c=2 d=1 t=63392
shi yi xia 	試一下	c=62 d=0.247431 t=66314
shi yong 	使用	c=129 d=0.00277756 t=66314
shi yong 	試用	c=2 d=2.75109e-40 t=66314
shi yong 	適用	c=1 d=7.72471e-52 t=66314
shi yong lv 	使用率	c=9 d=1.60966e-12 t=66314
shi yong qi 	試用期	c=5 d=2.24789e-18 t=66314
shi yong ren 	使用人	c=1 d=1 t=56524
shi yong tang 	食用糖	c=1 d=1 t=45869
shi you 	室友	c=4 d=0.00618889 t=66314
shi zai 	實在	c=4 d=4.5659e-13 t=66314
shi zhe ge 	是這個	c=1 d=1 t=42089
shi zhong 	始終	c=1 d=4.05024e-15 t=66314
shi zhong xin 	市中心	c=1 d=4.50554e-33 t=66314
shi zhuang 	實裝	c=1 d=6.24769e-26 t=66314
shou 	受	c=5 d=5.39715e-10 t=66314
shou 	手	c=1 d=1 t=57815
shou 	收	c=1 d=2.11147e-28 t=66314
shou 	首	c=1 d=1.98472e-35 t=66314
shou bu le 	受不了	c=2 d=0.927743 t=66314
shou cang 	收藏	c=1 d=4.91461e-26 t=66314
shou cang le 	收藏了	c=1 d=1.29398e-32 t=66314
shou ce 	手冊	c=3 d=1 t=59226
shou ci 	首次	c=2 d=1.24003e-31 t=66314
shou dao 	受到	c=1 d=1.95012e-34 t=66314
shou dao 	收到	c=37 d=5.31669e-10 t=66314
shou dao la 	收到啦	c=2 d=1.99501 t=49407
shou dao le 	收到了	c=3 d=1.86596e-15 t=66314
shou dong 	手動	c=32 d=2.47962e-10 t=66314
shou duan 	手段	c=1 d=4.50938e-43 t=66314
shou fa 	收發	c=1 d=5.5834e-27 t=66314
shou fu 	首付	c=3 d=2.56008e-23 t=66314
shou ge 	收個	c=1 d=6.5306e-47 t=66314
shou ge 	收割	c=1 d=1 t=55240
shou gong 	手工	c=1 d=1 t=61235
shou gou 	收購	c=1 d=1 t=47494
shou hai zhe 	受害者	c=1 d=1 t=56650
shou hou 	售後	c=4 d=2.88842 t=55420
shou ji 	手機	c=12 d=7.30037e-06 t=66314
shou ji 	收集	c=2 d=4.2412e-47 t=66314
shou ji hao 	手機號	c=2 d=5.6445e-08 t=66314
shou ji shi 	手機是	c=1 d=1 t=64410
shou kuai 	手快	c=1 d=5.11866e-34 t=66314
shou lei 	受累	c=1 d=1 t=26380
shou qian 	收錢	c=1 d=1 t=55744
shou ru 	收入	c=1 d=0.00145901 t=66314
shou shang 	受傷	c=1 d=1 t=56054
shou shu 	手術	c=1 d=6.80798e-07 t=66314
shou wei 	首位	c=2 d=3.08546e-20 t=66314
shou xi 	手洗	c=1 d=6.15049e-18 t=66314
shou xian 	首先	c=1 d=3.37191e-35 t=66314
shou xie 	手寫	c=1 d=1.89707e-33 t=66314
shou xu 	手續	c=1 d=2.71164e-30 t=66314
shou xu fei 	手續費	c=1 d=8.83069e-38 t=66314
shu 	數	c=16 d=7.75514e-09 t=66314
shu 	樹	c=12 d=0.105423 t=66314
shu 	輸	c=1 d=1 t=52695
shu bei 	數倍	c=1 d=5.57467e-38 t=66314
shu biao 	鼠標	c=1 d=7.88076e-52 t=66314
shu bu zhi 	殊不知	c=1 d=1 t=54696
shu cang 	數倉	c=3 d=2.59354 t=36185
shu chu 	輸出	c=10 d=2.00473e-06 t=66314
shu dian 	書店	c=1 d=8.18844e-32 t=66314
shu fu 	舒服	c=2 d=9.50881e-28 t=66314
shu jia 	暑假	c=1 d=1 t=56900
shu ju 	數據	c=202 d=0.873716 t=66314
shu ju hou 	數據後	c=1 d=1 t=41448
shu ju ku 	數據庫	c=50 d=0.422798 t=66314
shu ju liang 	數據量	c=3 d=6.32446e-52 t=66314
shu ju liu 	數據流	c=1 d=1.09131e-28 t=66314
shu ju yuan 	數據源	c=1 d=1 t=48228
shu le 	熟了	c=1 d=1 t=52686
shu le 	輸了	c=1 d=1 t=52687
shu li 	梳理	c=19 d=3.53171e-15 t=66314
shu liang 	數量	c=59 d=0.573802 t=66314
shu liang ji 	數量級	c=1 d=1 t=63162
shu ping 	數平	c=1 d=1 t=37543
shu qian 	書籤	c=2 d=1.10177 t=52853
shu ru 	輸入	c=12 d=5.6865e-07 t=66314
shu ru fa 	輸入法	c=2 d=0.99005 t=66314
shu ru kuang 	輸入框	c=2 d=2.29989e-23 t=66314
shu shi 	舒適	c=0 d=0.0995012 t=66314
shu shu 	叔叔	c=1 d=1 t=61463
shu xi 	熟悉	c=5 d=5.41843e-10 t=66314
shu xing 	屬性	c=19 d=6.78678e-20 t=66314
shu xu guan 	鼠鬚管	c=1 d=9.43338e-50 t=66314
shu xue 	數學	c=1 d=1 t=33097
shu yu 	屬於	c=1 d=2.44385e-42 t=66314
shu yu 	術語	c=1 d=3.35452e-33 t=66314
shu zhi 	數值	c=6 d=4.93169e-08 t=66314
shu zi 	數字	c=3 d=2.835e-24 t=66314
shu zu 	數組	c=2 d=2.92342e-32 t=66314
shua 	刷	c=9 d=0.367879 t=66314
shua ping 	刷屏	c=1 d=1 t=43965
shua xin 	刷新	c=7 d=5.58622e-17 t=66314
shua yi xia 	刷一下	c=1 d=0.000198445 t=66314
shuai 	帥	c=2 d=1.34936e-25 t=66314
shuai shuai 	帥帥	c=1 d=1.34263e-25 t=66314
shuai tui 	衰退	c=2 d=1.02352 t=43346
shuang 	雙	c=4 d=1.60245e-18 t=66314
shuang dai 	雙待	c=1 d=1.2895e-50 t=66314
shuang du 	雙讀	c=2 d=1.98511 t=64700
shuang fei 	雙非	c=1 d=1.76214e-18 t=66314
shuang huo 	雙活	c=6 d=1.31141 t=54605
shuang ka 	雙卡	c=1 d=1.28307e-50 t=66314
shuang ren 	雙人	c=1 d=1.47718e-31 t=66314
shuang shi 	雙十	c=0 d=3.86202e-15 t=66314
shuang shi er 	雙十二	c=1 d=3.88138e-14 t=66314
shuang xiang 	雙向	c=1 d=1 t=29066
shuang xie 	雙寫	c=1 d=1 t=64611
shui 	水	c=3 d=1.62921e-07 t=66314
shui 	睡	c=8 d=3.13806e-14 t=66314
shui 	稅	c=1 d=0.00155699 t=66314
shui 	誰	c=21 d=2.29696e-05 t=66314
shui biao 	水錶	c=0 d=7.86736e-33 t=66314
shui biao xing 	水錶性	c=1 d=7.9068e-32 t=66314
shui bu 	誰不	c=1 d=1.17204e-44 t=66314
shui bu zhao 	睡不着	c=1 d=1.78689e-35 t=66314
shui dao 	睡到	c=1 d=2.13857e-31 t=66314
shui de 	睡得	c=0 d=1.55134e-20 t=66314
shui de zhao 	睡得着	c=1 d=1.55911e-19 t=66314
shui dian 	水電	c=1 d=5.2918e-43 t=66314
shui hu 	水壺	c=1 d=0.00755912 t=66314
shui jiao 	水餃	c=1 d=2.36349e-31 t=66314
shui jiao 	睡覺	c=2 d=2.8401e-31 t=66314
shui lai 	誰來	c=1 d=6.74713e-19 t=66314
shui ping 	水平	c=1 d=1 t=65852
shui rang 	誰讓	c=1 d=2.9507e-24 t=66314
shui sheng 	水生	c=1 d=2.03566e-39 t=66314
shui yao 	誰要	c=1 d=7.61514e-31 t=66314
shui ye 	誰也	c=1 d=1 t=27082
shui yin 	水印	c=3 d=1.79292e-36 t=66314
shui zhao 	睡着	c=1 d=9.46616e-32 t=66314
shun bian 	順便	c=3 d=1.50836e-12 t=66314
shun jian 	瞬間	c=1 d=0.20089 t=66314
shun shi 	瞬時	c=2 d=3.78918e-47 t=66314
shun xu 	順序	c=11 d=7.39912e-16 t=66314
shun zhe 	順着	c=1 d=1 t=52550
shuo 	說	c=64 d=0.305828 t=66314
shuo bai le 	說白了	c=1 d=4.67e-43 t=66314
shuo bu ding 	說不定	c=2 d=6.66955e-30 t=66314
shuo bu guo qu 	說不過去	c=1 d=1.19535e-11 t=66314
shuo chang 	說唱	c=2 d=5.00095e-25 t=66314
shuo cuo 	說錯	c=0 d=0.1 t=48464
shuo cuo le 	說錯了	c=2 d=1.02364 t=49214
shuo de 	說的	c=5 d=2.04923e-41 t=66314
shuo guo 	說過	c=3 d=1 t=51804
shuo hao 	說好	c=1 d=4.11635e-29 t=66314
shuo hao de 	說好的	c=1 d=1 t=66198
shuo hua 	說話	c=1 d=3.06054e-28 t=66314
shuo le 	說了	c=5 d=3.2825e-13 t=66314
shuo ming 	說明	c=19 d=0.103323 t=66314
shuo qi lai 	說起來	c=1 d=1 t=41864
shuo sha 	說啥	c=1 d=3.41229e-28 t=66314
shuo shen me 	說什麼	c=1 d=7.28896e-16 t=66314
shuo shi hua 	說實話	c=2 d=1.19376e-23 t=66314
shuo shu ren 	說書人	c=1 d=4.97855e-31 t=66314
shuo shuo 	說說	c=2 d=1.95645e-23 t=66314
shuo tou 	說頭	c=1 d=1 t=57948
shuo wo 	說我	c=1 d=3.23188e-36 t=66314
shuo yi shuo 	說一說	c=1 d=8.66025e-44 t=66314
shuo yi xia 	說一下	c=2 d=1 t=55009
si 	四	c=3 d=6.96467e-10 t=66314
si 	寺	c=14 d=0.272321 t=66314
si 	撕	c=1 d=4.00014e-45 t=66314
si 	死	c=3 d=0.310367 t=66314
si ceng 	四層	c=1 d=1 t=41331
si de 	死的	c=1 d=1 t=34258
si dian 	四點	c=2 d=7.36849e-26 t=66314
si ge 	四個	c=2 d=1 t=41339
si he yi 	四合一	c=1 d=1.439e-17 t=66314
si ji 	司機	c=2 d=4.46908e-38 t=66314
si kao 	思考	c=2 d=6.66388e-20 t=66314
si le 	死了	c=3 d=0.311923 t=66314
si lu 	四路	c=2 d=1.89137 t=35415
si zhong 	四種	c=1 d=5.64546e-10 t=66314
song 	松	c=1 d=4.33196e-12 t=66314
song 	送	c=5 d=2.51273e-16 t=66314
song cuo 	送錯	c=1 d=1.50857e-43 t=66314
song ni 	送你	c=1 d=2.39016e-16 t=66314
song shang lai 	送上來	c=1 d=0.00509243 t=66314
song wai mian 	送外面	c=2 d=1.71893e-20 t=66314
song yi xia 	鬆一下	c=1 d=1 t=57238
sou 	搜	c=11 d=0.00634556 t=66314
sou ci 	廋詞	c=1 d=1 t=52080
sou dao 	搜到	c=5 d=1.98511 t=66024
sou le 	搜了	c=4 d=0.0290133 t=66314
sou suo 	搜索	c=7 d=1.31242e-22 t=66314
sou xing 	搜星	c=1 d=5.89307e-15 t=66314
sou yi sou 	搜一艘	c=1 d=4.58781e-40 t=66314
su 	宿	c=1 d=1 t=33366
su 	速	c=1 d=1.64134e-06 t=66314
su cai 	素材	c=5 d=1.99782 t=62968
su dong 	速凍	c=1 d=1 t=41044
su du 	速度	c=78 d=0.753672 t=66314
su fu 	素服	c=1 d=8.73539e-28 t=66314
su lv 	速率	c=1 d=1 t=44616
su ming 	宿命	c=2 d=1.35858e-07 t=66314
su she 	宿舍	c=1 d=8.4318e-53 t=66314
su zhou 	蘇州	c=96 d=0.0861292 t=66314
su zhou ji fang 	蘇州機房	c=1 d=1 t=64383
su zou 	素走	c=4 d=4.85232e-23 t=66314
suan 	算	c=15 d=0.000194986 t=66314
suan 	蒜	c=1 d=5.64816e-45 t=66314
suan bu liao 	算不了	c=1 d=1 t=24317
suan fa 	算法	c=8 d=1 t=39792
suan le 	算了	c=8 d=4.41058e-17 t=66314
sui 	歲	c=2 d=0.00164502 t=66314
sui bian 	隨便	c=8 d=3.77321e-05 t=66314
sui ji 	隨機	c=5 d=1.00002 t=62290
sui ran 	雖然	c=6 d=1.9371e-14 t=66314
sui shi 	隨時	c=2 d=1 t=51622
sui xin 	隨心	c=1 d=1 t=27900
sui yi 	隨意	c=5 d=6.48004e-19 t=66314
sui yuan 	隨緣	c=1 d=1 t=63286
suo 	所	c=1 d=1 t=27372
suo 	縮	c=1 d=1 t=40947
suo 	鎖	c=7 d=2.0554e-26 t=66314
suo duan 	縮短	c=2 d=2.14457e-34 t=66314
suo fen 	索粉	c=1 d=9.3287e-07 t=66314
suo rong 	縮容	c=2 d=1.8311 t=41006
suo shi 	瑣事	c=2 d=1 t=50177
suo shu 	所屬	c=2 d=1.97531 t=48997
suo xie 	縮寫	c=1 d=1 t=61654
suo yi 	所以	c=42 d=0.77126 t=66314
suo yin 	索引	c=26 d=0.775575 t=66314
suo you 	所有	c=30 d=8.17173e-08 t=66314
suo you ren 	所有人	c=1 d=1.31059e-35 t=66314
suo yu 	所欲	c=1 d=1 t=27901
suo zai 	所在	c=5 d=1.85275e-49 t=66314
ta 	他	c=29 d=5.28878e-13 t=66314
ta 	她	c=19 d=0.923116 t=66314
ta 	它	c=2 d=1 t=58390
ta bu 	他不	c=0 d=0.1 t=31951
ta bu gao 	他不搞	c=1 d=1 t=31952
ta de 	他的	c=1 d=1 t=31888
ta jiu shuo 	她就說	c=1 d=1 t=36367
ta ma de 	他媽的	c=0 d=2.90825e-31 t=66314
ta men 	他們	c=42 d=0.0108095 t=66314
ta men 	她們	c=1 d=8.65731e-40 t=66314
ta men neng 	他們能	c=2 d=1 t=50664
ta shuo 	他說	c=1 d=1.89088e-24 t=66314
ta shuo 	她說	c=1 d=1 t=51718
tai 	太	c=52 d=0.136188 t=66314
tai 	擡	c=1 d=1 t=27261
tai 	臺	c=61 d=0.229522 t=66314
tai bian tai 	太變態	c=1 d=1 t=38678
tai bian tai 	臺變態	c=1 d=1 t=38677
tai bu yao lian 	太不要臉	c=1 d=2.967e-30 t=66314
tai can le 	太慘了	c=1 d=1.5865e-18 t=66314
tai chang 	太長	c=2 d=1 t=57723
tai chou 	太醜	c=1 d=0.00416933 t=66314
tai chou le 	太醜了	c=1 d=5.35517e-36 t=66314
tai da 	太大	c=14 d=0.506617 t=66314
tai da lao 	太大佬	c=1 d=1 t=27634
tai duan 	太短	c=3 d=3.29044e-12 t=66314
tai duo 	太多	c=11 d=0.317113 t=66314
tai duo fen 	太多份	c=1 d=5.37178e-43 t=66314
tai e xin 	太噁心	c=5 d=9.7614e-11 t=66314
